# 离散节点, Euelr法数值解, Euler法误差, 改进Euler数值解, 改进Euler法误差, 解析解
0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,1.00000000
0.05000000,1.05000000,-0.00119115,1.04886905,-0.00006020,1.04880885
0.10000000,1.09773810,-0.00229298,1.09556112,-0.00011600,1.09544512
0.15000000,1.14351536,-0.00333993,1.14034459,-0.00016917,1.14017543
0.20000000,1.18757368,-0.00435773,1.18343698,-0.00022103,1.18321596
0.25000000,1.23011131,-0.00536643,1.22501749,-0.00027262,1.22474487
0.30000000,1.27129351,-0.00638244,1.26523585,-0.00032479,1.26491106
0.35000000,1.31126017,-0.00741969,1.30421877,-0.00037828,1.30384048
0.40000000,1.35013130,-0.00849051,1.34207454,-0.00043376,1.34164079
0.45000000,1.38801111,-0.00960624,1.37889670,-0.00049182,1.37840488
0.50000000,1.42499118,-0.01077762,1.41476663,-0.00055306,1.41421356
0.55000000,1.46115280,-0.01201513,1.44975574,-0.00061806,1.44913767
0.60000000,1.49656893,-0.01332923,1.48392711,-0.00068741,1.48323970
0.65000000,1.53130567,-0.01473058,1.51733679,-0.00076171,1.51657509
0.70000000,1.56542352,-0.01623018,1.55003492,-0.00084158,1.54919334
0.75000000,1.59897836,-0.01783953,1.58206653,-0.00092770,1.58113883
0.80000000,1.63202233,-0.01957078,1.61347233,-0.00102078,1.61245155
0.85000000,1.66460451,-0.02143684,1.64428925,-0.00112157,1.64316767
0.90000000,1.69677156,-0.02345150,1.67455096,-0.00123091,1.67332005
0.95000000,1.72856823,-0.02562959,1.70428830,-0.00134966,1.70293864
1.00000000,1.76003786,-0.02798705,1.73352962,-0.00147882,1.73205081
